Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
3,70,94,82,24,47,43,99,54,56,68,8
54,11,18,57,95,93,55,8,37,49,94,38
88,42,25,74,53,81,68,54,97,44,18,65
50,1,46,42,40,81,25,1,46,77,50,60
16,45,74,69,55,15,78,26,77,49,39,61
17,39,57,4,13,80,30,88,68,85,52,8
87,61,7,81,44,7,83,43,47,81,86,67
36,81,95,80,72,85,20,41,26,68,63,21
28,21,30,66,100,57,37,76,69,2,92,12
79,16,6,6,86,97,75,28,71,30,53,48
98,74,7,28,91,68,92,2,41,56,43,96
98,97,1,12,26,83,23,49,58,16,92,96
5,42,87,2,91,0,12,48,6,25,28,41
35,23,66,74,0,95,21,47,13,79,67,68
39,51,63,65,51,63,68,26,65,82,33,16
47,13,26,18,54,21,95,63,5,54,84,32
58,3,50,12,59,97,68,33,15,24,11,26
69,49,19,17,80,98,16,9,0,67,16,77
15,85,20,66,28,34,73,58,58,0,82,9
67,35,60,82,66,78,49,83,90,71,68,52
7,93,79,38,21,67,66,69,78,80,49,92
27,39,49,69,13,55,76,19,0,24,96,41
34,26,0,73,96,30,30,64,96,9,9,31
42,60,78,34,44,45,13,34,81,13,37,5
90,28,9,12,0,57,45,14,55,70,7,12
67,34,90,9,31,52,7,15,9,28,85,97
90,99,75,63,10,87,89,85,3,97,49,58
7,57,18,20,62,88,50,4,76,54,72,24
34,,73,2,27,95,20,17,38,99,50,24
100,,99,86,92,95,89,51,11,93,59,39
27,,47,,9,,58,97,,41,,75
